NAME                         READY   STATUS             RESTARTS       AGE     IP            NODE          NOMINATED NODE   READINESS GATES
frontend-9dcd685f9-hbrfw     1/1     Running            3 (86m ago)    113m    10.244.2.19   k8s-worker2   <none>           <none>
gateway-67ddf64db9-7wghc     1/1     Running            0              4m26s   10.244.1.28   k8s-worker1   <none>           <none>
gateway-67ddf64db9-88g4b     1/1     Running            0              5m41s   10.244.1.22   k8s-worker1   <none>           <none>
gateway-67ddf64db9-hcgz9     1/1     Running            0              4m26s   10.244.1.27   k8s-worker1   <none>           <none>
gateway-67ddf64db9-hphmp     1/1     Running            1 (88m ago)    113m    10.244.1.16   k8s-worker1   <none>           <none>
gateway-67ddf64db9-hv72g     1/1     Running            0              8m26s   10.244.1.21   k8s-worker1   <none>           <none>
gateway-67ddf64db9-kd4s6     0/1     Pending            0              26s     <none>        <none>        <none>           <none>
gateway-67ddf64db9-kvlfh     0/1     Pending            0              26s     <none>        <none>        <none>           <none>
gateway-67ddf64db9-vwb9l     1/1     Running            1 (88m ago)    113m    10.244.1.14   k8s-worker1   <none>           <none>
gateway-67ddf64db9-wp4gv     1/1     Running            0              3m26s   10.244.1.30   k8s-worker1   <none>           <none>
inventory-54b7486945-25hc8   0/1     CrashLoopBackOff   4 (35s ago)    4m41s   10.244.1.25   k8s-worker1   <none>           <none>
inventory-54b7486945-4sgww   0/1     CrashLoopBackOff   4 (35s ago)    4m26s   10.244.1.26   k8s-worker1   <none>           <none>
inventory-54b7486945-6kffz   0/1     Running            4 (56s ago)    5m26s   10.244.1.23   k8s-worker1   <none>           <none>
inventory-54b7486945-ktbmc   1/1     Running            1 (88m ago)    113m    10.244.1.17   k8s-worker1   <none>           <none>
inventory-54b7486945-nf5ql   1/1     Running            1 (88m ago)    113m    10.244.1.19   k8s-worker1   <none>           <none>
order-6976c69cdd-7tfnt       0/1     Running            1 (5s ago)     101s    10.244.1.35   k8s-worker1   <none>           <none>
order-6976c69cdd-cqtdc       0/1     CrashLoopBackOff   4 (25s ago)    4m26s   10.244.2.33   k8s-worker2   <none>           <none>
order-6976c69cdd-dmbjb       1/1     Running            1 (87m ago)    113m    10.244.2.18   k8s-worker2   <none>           <none>
order-6976c69cdd-dnt5f       0/1     CrashLoopBackOff   2 (15s ago)    8m26s   10.244.2.26   k8s-worker2   <none>           <none>
order-6976c69cdd-f6xcw       1/1     Running            1 (87m ago)    113m    10.244.2.22   k8s-worker2   <none>           <none>
order-6976c69cdd-kfmw7       1/1     Running            1 (24s ago)    2m11s   10.244.1.34   k8s-worker1   <none>           <none>
order-6976c69cdd-pvkc7       0/1     CrashLoopBackOff   4 (38s ago)    4m26s   10.244.2.34   k8s-worker2   <none>           <none>
order-6976c69cdd-sdl99       1/1     Running            0              5m26s   10.244.2.29   k8s-worker2   <none>           <none>
order-6976c69cdd-smkdm       1/1     Running            4 (118s ago)   7m56s   10.244.2.27   k8s-worker2   <none>           <none>
order-6976c69cdd-zmclx       1/1     Running            0              5m26s   10.244.2.30   k8s-worker2   <none>           <none>
payment-7f446f7f68-4r85q     1/1     Running            2 (101s ago)   3m56s   10.244.2.35   k8s-worker2   <none>           <none>
payment-7f446f7f68-55452     0/1     CrashLoopBackOff   5 (27s ago)    113m    10.244.2.20   k8s-worker2   <none>           <none>
payment-7f446f7f68-6mlng     1/1     Running            3 (117s ago)   4m41s   10.244.2.32   k8s-worker2   <none>           <none>
payment-7f446f7f68-8t46k     0/1     Running            3 (49s ago)    5m11s   10.244.2.31   k8s-worker2   <none>           <none>
payment-7f446f7f68-cpzqc     0/1     Running            2 (22s ago)    2m41s   10.244.1.32   k8s-worker1   <none>           <none>
payment-7f446f7f68-fjrnl     0/1     Running            3 (40s ago)    8m26s   10.244.2.25   k8s-worker2   <none>           <none>
payment-7f446f7f68-k2ws6     0/1     CrashLoopBackOff   3 (5s ago)     5m41s   10.244.2.28   k8s-worker2   <none>           <none>
payment-7f446f7f68-kwzfm     0/1     Running            5 (64s ago)    113m    10.244.2.23   k8s-worker2   <none>           <none>
payment-7f446f7f68-lgmjq     1/1     Running            3 (64s ago)    2m41s   10.244.1.33   k8s-worker1   <none>           <none>
product-79f7fc54b6-fmwn8     1/1     Running            1 (88m ago)    113m    10.244.1.15   k8s-worker1   <none>           <none>
product-79f7fc54b6-wr8sw     1/1     Running            1 (88m ago)    113m    10.244.1.18   k8s-worker1   <none>           <none>
user-64dcb65d99-qwlqs        1/1     Running            1 (87m ago)    113m    10.244.2.21   k8s-worker2   <none>           <none>
